Travel_ID,Traveler_Name,Gender,Age,Country,City,Travel_Type,Transport_Mode,Booking_Source,Travel_Month,Travel_Year,Stay_Days,Travel_Cost,Hotel_Type,Rating,Season
T0028,Traveler_28,Male,40,Singapore,New York,Business,Bus,Agent,October,2022,7,71917,Budget,4,Summer
T0029,Traveler_29,Male,54,Italy,Rome,Business,Flight,Online,September,2023,9,53998,Budget,3,Summer
T0030,Traveler_30,Male,30,Australia,Rome,Leisure,Train,Agent,May,2023,10,38968,Standard,5,Winter
T0031,Traveler_31,Male,30,UAE,Dubai,Leisure,Train,Agent,August,2022,5,64571,Luxury,5,Winter
T0032,Traveler_32,Male,47,Italy,Dubai,Business,Train,Online,December,2022,5,58368,Luxury,4,Monsoon
T0033,Traveler_33,Female,55,Italy,Bangkok,Leisure,Flight,Online,December,2023,2,42685,Standard,4,Summer
T0034,Traveler_34,Male,45,Australia,Rome,Business,Bus,Agent,March,2022,10,80454,Luxury,5,Winter
T0035,Traveler_35,Male,55,France,London,Leisure,Flight,Agent,June,2024,6,89121,Budget,4,Winter
T0036,Traveler_36,Female,28,Germany,Singapore,Leisure,Train,Online,February,2024,8,40522,Budget,4,Summer
T0037,Traveler_37,Male,41,UAE,Singapore,Business,Train,Online,June,2022,7,92519,Budget,4,Summer
T0038,Traveler_38,Male,60,UAE,Paris,Business,Train,Online,March,2024,2,65899,Standard,5,Summer
T0039,Traveler_39,Male,34,Singapore,Bangkok,Leisure,Train,Online,May,2022,10,113885,Budget,4,Summer
T0040,Traveler_40,Female,28,India,Sydney,Business,Bus,Agent,October,2024,5,67823,Luxury,5,Monsoon
T0041,Traveler_41,Female,18,Germany,Berlin,Business,Bus,Agent,December,2022,3,96612,Standard,3,Summer
T0042,Traveler_42,Female,41,Thailand,Rome,Leisure,Bus,Online,January,2022,8,56259,Budget,3,Monsoon
T0043,Traveler_43,Female,52,Italy,Sydney,Business,Flight,Online,June,2022,10,51108,Luxury,4,Winter
T0044,Traveler_44,Male,47,UAE,Rome,Leisure,Bus,Online,August,2022,7,87071,Standard,4,Winter
T0045,Traveler_45,Male,38,USA,Rome,Business,Bus,Agent,April,2022,9,106977,Budget,4,Summer
T0046,Traveler_46,Male,50,UK,New York,Leisure,Flight,Agent,September,2023,3,54595,Luxury,4,Summer
T0047,Traveler_47,Female,34,Thailand,Goa,Leisure,Flight,Agent,October,2022,5,48812,Luxury,4,Monsoon
T0048,Traveler_48,Male,32,India,Rome,Leisure,Bus,Online,July,2022,3,113937,Budget,5,Summer
T0049,Traveler_49,Male,37,Italy,Sydney,Leisure,Flight,Agent,January,2023,7,54509,Budget,4,Winter
T0050,Traveler_50,Male,38,India,Bangkok,Leisure,Train,Agent,August,2024,10,63151,Budget,5,Monsoon
T0051,Traveler_51,Male,57,Germany,Bangkok,Leisure,Flight,Agent,January,2022,5,111204,Standard,5,Monsoon
T0052,Traveler_52,Female,57,Italy,Singapore,Leisure,Train,Agent,May,2023,8,112014,Standard,4,Monsoon
T0053,Traveler_53,Female,37,Singapore,Berlin,Business,Train,Online,June,2023,3,58829,Luxury,4,Summer
T0054,Traveler_54,Female,36,Australia,Rome,Leisure,Bus,Online,October,2023,7,34578,Budget,3,Winter
T0055,Traveler_55,Female,45,UK,Singapore,Leisure,Train,Online,February,2023,8,44402,Budget,5,Monsoon
T0056,Traveler_56,Male,49,Thailand,Sydney,Leisure,Bus,Agent,November,2023,3,19455,Budget,3,Summer
T0057,Traveler_57,Male,18,India,Berlin,Business,Bus,Agent,March,2023,4,92604,Standard,5,Summer
T0058,Traveler_58,Male,26,Germany,Bangkok,Leisure,Bus,Online,July,2022,6,20744,Standard,5,Summer
T0059,Traveler_59,Female,39,Thailand,Singapore,Leisure,Bus,Agent,August,2022,3,88199,Standard,4,Winter
T0060,Traveler_60,Female,56,Italy,New York,Business,Flight,Agent,August,2023,7,117084,Budget,4,Monsoon
T0061,Traveler_61,Male,48,France,London,Business,Train,Online,July,2023,4,115217,Luxury,5,Summer
T0062,Traveler_62,Male,30,France,Paris,Business,Flight,Agent,September,2022,10,86692,Standard,5,Summer
T0063,Traveler_63,Female,50,India,Singapore,Business,Train,Agent,January,2022,3,86155,Luxury,4,Summer
T0064,Traveler_64,Male,36,UAE,Berlin,Business,Flight,Agent,October,2022,4,93987,Luxury,4,Monsoon
T0065,Traveler_65,Female,21,Australia,Bangkok,Leisure,Train,Agent,June,2023,2,29555,Luxury,3,Winter
T0066,Traveler_66,Female,39,UAE,Sydney,Leisure,Flight,Agent,September,2022,8,40403,Standard,4,Monsoon
T0067,Traveler_67,Female,50,UK,Rome,Business,Flight,Online,June,2023,10,97647,Standard,5,Monsoon
T0068,Traveler_68,Male,59,Thailand,Paris,Leisure,Flight,Online,June,2024,8,59287,Luxury,5,Winter
T0069,Traveler_69,Male,39,India,Sydney,Leisure,Train,Agent,March,2022,2,37516,Standard,4,Summer
T0070,Traveler_70,Female,41,Italy,Paris,Business,Train,Online,May,2022,7,71551,Luxury,5,Monsoon
T0071,Traveler_71,Female,37,Australia,Berlin,Leisure,Bus,Agent,December,2023,3,61852,Standard,4,Monsoon
T0072,Traveler_72,Male,48,Australia,Sydney,Leisure,Bus,Online,October,2023,9,100054,Luxury,4,Winter
T0073,Traveler_73,Male,18,Thailand,London,Leisure,Bus,Online,March,2024,4,41341,Standard,3,Summer
T0074,Traveler_74,Male,49,India,Rome,Business,Train,Agent,April,2024,7,82232,Standard,4,Monsoon
T0075,Traveler_75,Male,53,Italy,Dubai,Business,Bus,Online,June,2022,9,57855,Luxury,4,Summer
T0076,Traveler_76,Female,47,India,Singapore,Business,Bus,Online,April,2022,7,62935,Luxury,4,Winter
T0077,Traveler_77,Male,37,India,Goa,Business,Flight,Online,June,2024,4,33082,Standard,5,Monsoon
T0078,Traveler_78,Female,20,Germany,Bangkok,Business,Train,Online,January,2023,7,73015,Budget,5,Monsoon
T0079,Traveler_79,Male,42,France,Sydney,Leisure,Train,Agent,January,2023,8,59577,Standard,3,Winter
T0080,Traveler_80,Female,46,Australia,Rome,Business,Bus,Online,February,2023,6,78499,Standard,5,Monsoon
T0081,Traveler_81,Female,37,India,Paris,Leisure,Flight,Online,May,2022,6,38239,Luxury,4,Winter
T0082,Traveler_82,Male,39,Thailand,Sydney,Business,Flight,Agent,September,2024,6,45218,Luxury,5,Monsoon
T0083,Traveler_83,Male,57,France,Singapore,Leisure,Bus,Online,August,2023,10,52247,Standard,3,Winter
T0084,Traveler_84,Male,47,USA,Dubai,Leisure,Train,Agent,March,2023,8,73525,Luxury,5,Summer
T0085,Traveler_85,Female,32,France,Sydney,Leisure,Flight,Agent,December,2024,8,55191,Standard,3,Summer
T0086,Traveler_86,Male,28,India,Singapore,Leisure,Train,Agent,September,2022,8,105003,Standard,4,Summer
T0087,Traveler_87,Male,43,France,Berlin,Leisure,Bus,Online,January,2023,6,36345,Budget,3,Monsoon
T0088,Traveler_88,Female,56,Italy,Berlin,Business,Train,Agent,September,2024,6,80875,Budget,4,Monsoon
T0089,Traveler_89,Female,54,Singapore,London,Business,Train,Agent,June,2023,9,86113,Budget,5,Summer
T0090,Traveler_90,Female,19,Germany,Rome,Business,Flight,Agent,September,2024,2,27013,Budget,3,Winter
T0091,Traveler_91,Female,50,Singapore,New York,Business,Flight,Agent,January,2022,5,45852,Budget,3,Monsoon
T0092,Traveler_92,Female,53,France,Berlin,Business,Bus,Online,August,2024,3,67828,Budget,3,Summer
T0093,Traveler_93,Male,51,Thailand,Paris,Leisure,Train,Agent,February,2024,4,100544,Luxury,5,Winter
T0094,Traveler_94,Male,44,USA,Berlin,Business,Bus,Agent,April,2024,9,25295,Standard,4,Monsoon
T0095,Traveler_95,Female,37,India,Bangkok,Leisure,Flight,Online,October,2024,2,79388,Luxury,3,Winter
T0096,Traveler_96,Male,55,France,Bangkok,Leisure,Train,Online,January,2024,7,55194,Luxury,4,Winter
T0097,Traveler_97,Female,58,UK,Berlin,Business,Bus,Online,April,2024,10,53632,Luxury,3,Monsoon
T0098,Traveler_98,Male,24,France,Berlin,Business,Train,Agent,March,2023,10,61984,Standard,5,Summer
T0099,Traveler_99,Male,55,Thailand,Singapore,Business,Flight,Online,April,2024,3,71910,Luxury,3,Summer
T0100,Traveler_100,Female,53,India,Goa,Leisure,Bus,Agent,December,2023,5,66704,Luxury,4,Monsoon
T0101,Traveler_101,Female,28,Singapore,Singapore,Business,Train,Agent,August,2023,6,86040,Budget,4,Summer
T0102,Traveler_102,Male,22,Australia,Berlin,Business,Bus,Agent,December,2023,4,118773,Luxury,3,Winter
T0103,Traveler_103,Male,45,UK,Sydney,Business,Bus,Online,June,2024,5,81964,Luxury,5,Winter
T0104,Traveler_104,Male,44,France,Berlin,Leisure,Bus,Agent,April,2022,10,27139,Budget,4,Monsoon
T0105,Traveler_105,Male,46,Singapore,Bangkok,Leisure,Flight,Agent,June,2023,10,95689,Budget,5,Summer
T0106,Traveler_106,Male,26,France,Singapore,Business,Flight,Online,January,2022,6,59057,Standard,5,Summer
T0107,Traveler_107,Male,23,Thailand,London,Business,Train,Online,November,2022,8,40968,Standard,5,Winter
T0108,Traveler_108,Male,27,Singapore,Dubai,Leisure,Bus,Agent,January,2023,3,116308,Budget,4,Winter
T0109,Traveler_109,Male,28,India,Dubai,Leisure,Bus,Agent,September,2022,4,71151,Budget,5,Monsoon
T0110,Traveler_110,Male,48,Australia,Sydney,Leisure,Flight,Agent,May,2024,10,43944,Standard,4,Winter
T0111,Traveler_111,Female,19,India,Berlin,Leisure,Train,Agent,January,2023,5,99986,Standard,5,Summer
T0112,Traveler_112,Male,34,Germany,New York,Leisure,Flight,Agent,October,2022,9,35006,Luxury,5,Monsoon
T0113,Traveler_113,Female,36,France,Sydney,Leisure,Train,Agent,April,2024,4,105883,Budget,5,Winter
T0114,Traveler_114,Male,57,Singapore,Singapore,Leisure,Flight,Agent,March,2022,7,34566,Budget,3,Monsoon
T0115,Traveler_115,Female,42,USA,Singapore,Leisure,Train,Online,August,2022,6,48379,Budget,5,Monsoon
T0116,Traveler_116,Male,27,USA,Bangkok,Leisure,Train,Agent,June,2024,4,86397,Standard,5,Winter
T0117,Traveler_117,Male,52,Singapore,Singapore,Leisure,Train,Online,December,2023,8,45559,Budget,4,Monsoon
T0118,Traveler_118,Female,46,France,Singapore,Business,Bus,Agent,June,2023,10,109039,Standard,5,Summer
T0119,Traveler_119,Female,48,India,Singapore,Leisure,Flight,Agent,April,2024,5,49891,Standard,3,Winter
T0120,Traveler_120,Female,21,UK,Dubai,Leisure,Bus,Online,March,2023,5,25873,Standard,4,Monsoon
T0121,Traveler_121,Male,57,UAE,Singapore,Business,Flight,Online,January,2024,4,82246,Budget,4,Summer
T0122,Traveler_122,Male,41,Australia,Goa,Leisure,Flight,Online,March,2023,2,15577,Luxury,3,Summer
T0123,Traveler_123,Female,43,USA,New York,Leisure,Bus,Online,March,2024,9,67777,Standard,4,Summer
T0124,Traveler_124,Male,40,UK,London,Business,Flight,Online,September,2022,4,46020,Standard,5,Summer
T0125,Traveler_125,Male,42,Australia,Sydney,Business,Bus,Agent,February,2022,7,107524,Luxury,5,Summer
T0126,Traveler_126,Female,25,Italy,London,Leisure,Train,Online,August,2024,7,117883,Standard,5,Monsoon
T0127,Traveler_127,Female,35,France,Bangkok,Leisure,Bus,Online,March,2023,3,80611,Budget,3,Winter
T0128,Traveler_128,Female,24,USA,Goa,Leisure,Train,Online,February,2023,10,22863,Luxury,5,Monsoon
T0129,Traveler_129,Male,59,France,Paris,Business,Train,Online,April,2022,10,69950,Luxury,4,Winter
T0130,Traveler_130,Male,22,France,Dubai,Leisure,Flight,Online,May,2024,5,38302,Budget,3,Monsoon
T0131,Traveler_131,Male,20,USA,Singapore,Leisure,Train,Online,December,2024,7,35440,Budget,5,Summer
T0132,Traveler_132,Male,39,France,London,Leisure,Train,Agent,November,2022,3,39161,Luxury,5,Summer
T0133,Traveler_133,Male,44,Australia,Paris,Leisure,Bus,Online,August,2022,9,39134,Budget,5,Monsoon
T0134,Traveler_134,Male,31,Thailand,Bangkok,Business,Train,Agent,August,2023,9,58443,Luxury,5,Monsoon
T0135,Traveler_135,Female,37,Italy,Goa,Leisure,Flight,Online,February,2022,6,102399,Luxury,3,Monsoon
T0136,Traveler_136,Male,60,Australia,Paris,Leisure,Train,Agent,February,2024,8,67183,Budget,5,Summer
T0137,Traveler_137,Female,57,Italy,Singapore,Leisure,Bus,Agent,February,2024,10,109463,Budget,4,Monsoon
T0138,Traveler_138,Male,26,Australia,Goa,Leisure,Train,Online,October,2024,8,58399,Standard,4,Monsoon
T0139,Traveler_139,Female,48,USA,Dubai,Business,Flight,Agent,June,2024,9,78409,Budget,5,Winter
T0140,Traveler_140,Male,41,Germany,New York,Business,Train,Online,March,2023,7,44633,Budget,5,Monsoon
T0141,Traveler_141,Male,35,France,Paris,Business,Train,Online,December,2022,9,36166,Budget,3,Winter
T0142,Traveler_142,Male,31,USA,Berlin,Leisure,Bus,Online,April,2024,7,113365,Standard,4,Monsoon
T0143,Traveler_143,Male,56,Italy,New York,Business,Flight,Agent,May,2022,7,82913,Luxury,4,Summer
T0144,Traveler_144,Male,35,Singapore,Dubai,Business,Bus,Agent,May,2024,5,98642,Luxury,3,Summer
T0145,Traveler_145,Female,23,India,Singapore,Business,Train,Agent,January,2023,10,15101,Luxury,4,Summer
T0146,Traveler_146,Male,40,Australia,Goa,Leisure,Bus,Online,August,2024,7,96928,Budget,4,Monsoon
T0147,Traveler_147,Male,49,Germany,New York,Business,Bus,Agent,April,2024,5,18277,Budget,3,Monsoon
T0148,Traveler_148,Male,20,USA,Singapore,Leisure,Train,Agent,September,2022,2,52207,Standard,5,Monsoon
T0149,Traveler_149,Male,20,France,Paris,Business,Train,Agent,September,2022,2,29873,Luxury,5,Winter
T0150,Traveler_150,Male,49,India,Sydney,Business,Train,Online,October,2022,4,35125,Standard,3,Monsoon
T0151,Traveler_151,Male,40,UK,Paris,Business,Bus,Agent,June,2023,2,43148,Luxury,4,Winter
T0152,Traveler_152,Male,43,Australia,Dubai,Leisure,Bus,Online,May,2022,10,77888,Luxury,3,Monsoon
T0153,Traveler_153,Female,39,France,Dubai,Business,Flight,Agent,September,2022,3,112756,Budget,5,Summer
T0154,Traveler_154,Female,59,USA,Bangkok,Business,Train,Agent,May,2022,4,56091,Luxury,4,Summer
T0155,Traveler_155,Female,59,Thailand,Sydney,Leisure,Train,Agent,May,2023,5,46282,Luxury,4,Winter
T0156,Traveler_156,Female,50,France,Berlin,Business,Train,Agent,October,2022,8,58410,Standard,3,Winter
T0157,Traveler_157,Male,60,Italy,Berlin,Leisure,Bus,Online,August,2023,3,19379,Luxury,5,Winter
T0158,Traveler_158,Female,31,Australia,Paris,Business,Bus,Agent,August,2024,10,105994,Standard,4,Summer
T0159,Traveler_159,Male,55,France,Singapore,Business,Train,Agent,April,2024,4,37834,Standard,5,Winter
T0160,Traveler_160,Male,48,Germany,Berlin,Business,Flight,Online,December,2024,5,111413,Budget,3,Winter
T0161,Traveler_161,Male,46,Thailand,Bangkok,Business,Train,Online,February,2022,10,84024,Luxury,5,Summer
T0162,Traveler_162,Female,20,Germany,Bangkok,Leisure,Train,Online,June,2024,8,99191,Standard,4,Summer
T0163,Traveler_163,Female,40,UAE,Paris,Business,Train,Online,January,2022,5,43336,Luxury,3,Winter
T0164,Traveler_164,Male,38,Singapore,Bangkok,Leisure,Flight,Online,July,2024,3,89423,Standard,5,Winter
T0165,Traveler_165,Male,27,Thailand,Singapore,Leisure,Bus,Online,June,2022,5,50856,Luxury,4,Monsoon
T0166,Traveler_166,Female,38,UAE,New York,Business,Bus,Agent,November,2024,9,117124,Standard,5,Winter
T0167,Traveler_167,Male,44,Singapore,Singapore,Leisure,Flight,Online,June,2023,7,62752,Standard,4,Summer
T0168,Traveler_168,Female,25,Australia,Bangkok,Business,Bus,Agent,June,2022,7,61975,Luxury,5,Monsoon
T0169,Traveler_169,Female,52,USA,Goa,Business,Bus,Online,March,2024,2,98664,Budget,5,Winter
T0170,Traveler_170,Female,57,UAE,London,Leisure,Train,Online,April,2024,5,38364,Standard,5,Summer
T0171,Traveler_171,Female,21,UK,Goa,Business,Bus,Online,March,2022,8,70095,Luxury,5,Monsoon
T0172,Traveler_172,Male,34,Singapore,Goa,Leisure,Train,Agent,August,2023,10,45561,Standard,5,Monsoon
T0173,Traveler_173,Male,23,Australia,Berlin,Business,Flight,Online,November,2022,10,30013,Luxury,4,Summer
T0174,Traveler_174,Male,55,USA,Sydney,Business,Flight,Online,September,2023,6,100724,Luxury,5,Monsoon
T0175,Traveler_175,Male,18,France,Berlin,Business,Bus,Online,September,2024,3,63271,Luxury,4,Summer
T0176,Traveler_176,Male,36,Thailand,Rome,Leisure,Flight,Agent,March,2023,2,110741,Luxury,3,Summer
T0177,Traveler_177,Female,36,Italy,Bangkok,Business,Bus,Agent,June,2024,5,41163,Luxury,4,Winter
T0178,Traveler_178,Male,41,France,Singapore,Leisure,Train,Online,December,2022,4,51785,Budget,5,Summer
T0179,Traveler_179,Male,42,India,Bangkok,Leisure,Bus,Online,July,2024,5,19050,Budget,3,Winter
T0180,Traveler_180,Male,40,UK,Goa,Business,Bus,Agent,October,2024,8,90102,Standard,3,Summer
T0181,Traveler_181,Male,27,Australia,Paris,Business,Bus,Agent,May,2024,7,81803,Standard,3,Summer
T0182,Traveler_182,Female,18,UK,New York,Leisure,Flight,Agent,February,2024,8,102556,Standard,5,Monsoon
T0183,Traveler_183,Female,26,France,Singapore,Leisure,Train,Online,January,2023,4,74548,Budget,4,Winter
T0184,Traveler_184,Female,50,India,Dubai,Business,Bus,Online,September,2024,7,119052,Standard,4,Winter
T0185,Traveler_185,Male,21,UK,Sydney,Business,Flight,Online,October,2024,2,78332,Luxury,3,Summer
T0186,Traveler_186,Male,20,Thailand,Bangkok,Business,Flight,Agent,November,2022,2,36646,Budget,4,Monsoon
T0187,Traveler_187,Female,28,UK,Goa,Business,Bus,Online,February,2023,10,105361,Standard,4,Winter
T0188,Traveler_188,Female,27,USA,Rome,Leisure,Bus,Agent,March,2024,10,18534,Luxury,4,Winter
T0189,Traveler_189,Male,44,France,London,Leisure,Flight,Agent,November,2024,7,110092,Standard,4,Winter
T0190,Traveler_190,Male,53,Singapore,Paris,Leisure,Train,Online,March,2022,2,57864,Budget,4,Winter
T0191,Traveler_191,Female,35,UAE,Dubai,Business,Bus,Agent,June,2022,8,33720,Luxury,5,Summer
T0192,Traveler_192,Male,41,Australia,Bangkok,Business,Flight,Agent,December,2023,6,87554,Standard,3,Monsoon
T0193,Traveler_193,Female,35,India,Paris,Leisure,Flight,Online,June,2023,7,37955,Luxury,5,Winter
T0194,Traveler_194,Male,39,UK,London,Leisure,Bus,Online,December,2023,5,15962,Standard,4,Winter
T0195,Traveler_195,Female,18,USA,Dubai,Business,Flight,Agent,May,2022,10,88651,Standard,3,Monsoon
T0196,Traveler_196,Male,27,USA,Singapore,Business,Train,Agent,October,2022,5,93965,Standard,3,Winter
T0197,Traveler_197,Female,37,India,Berlin,Leisure,Train,Agent,September,2024,3,21764,Luxury,4,Winter
T0198,Traveler_198,Male,20,Thailand,Sydney,Leisure,Flight,Agent,October,2024,5,40929,Budget,3,Summer
T0199,Traveler_199,Female,31,USA,New York,Business,Train,Agent,September,2022,5,98495,Standard,5,Summer
T0200,Traveler_200,Female,35,Singapore,Dubai,Leisure,Flight,Agent,July,2023,3,17324,Budget,5,Winter
T0201,Traveler_201,Female,31,Thailand,Singapore,Business,Flight,Online,December,2022,10,111864,Luxury,4,Summer
T0202,Traveler_202,Female,41,France,Bangkok,Leisure,Bus,Online,October,2022,4,66609,Luxury,5,Summer
T0203,Traveler_203,Male,26,Singapore,Dubai,Business,Train,Online,May,2024,4,53416,Luxury,5,Winter
T0204,Traveler_204,Female,34,USA,Sydney,Leisure,Bus,Online,December,2022,8,85681,Standard,5,Summer
T0205,Traveler_205,Male,20,India,New York,Business,Bus,Agent,November,2024,2,36298,Standard,5,Summer
T0206,Traveler_206,Female,41,Italy,Rome,Leisure,Train,Online,October,2023,5,28518,Standard,5,Winter
T0207,Traveler_207,Female,48,Germany,Singapore,Leisure,Bus,Online,June,2023,3,116215,Standard,5,Winter
T0208,Traveler_208,Female,34,Germany,London,Business,Flight,Agent,June,2023,4,77811,Standard,3,Winter
T0209,Traveler_209,Male,43,UK,Bangkok,Business,Flight,Agent,November,2024,2,57156,Luxury,5,Monsoon
T0210,Traveler_210,Female,57,USA,Goa,Leisure,Train,Agent,November,2022,5,44302,Budget,5,Summer
T0211,Traveler_211,Male,29,USA,London,Business,Bus,Online,November,2022,10,15806,Budget,4,Monsoon
T0212,Traveler_212,Female,38,Italy,New York,Business,Bus,Online,September,2023,6,20035,Standard,3,Monsoon
T0213,Traveler_213,Female,55,India,Sydney,Business,Flight,Online,September,2022,4,65361,Luxury,3,Monsoon
T0214,Traveler_214,Male,34,India,Rome,Business,Train,Agent,April,2023,7,15819,Luxury,5,Winter
T0215,Traveler_215,Female,35,Thailand,Berlin,Business,Flight,Agent,February,2024,9,94738,Luxury,4,Summer
T0216,Traveler_216,Female,24,France,Berlin,Business,Bus,Agent,March,2022,8,76683,Standard,3,Summer
T0217,Traveler_217,Male,18,Thailand,New York,Business,Flight,Online,August,2022,5,109091,Budget,4,Summer
T0218,Traveler_218,Female,58,Italy,Paris,Business,Train,Agent,December,2023,3,59400,Luxury,3,Winter
T0219,Traveler_219,Male,34,Germany,Dubai,Leisure,Bus,Online,December,2024,3,94460,Luxury,3,Summer
T0220,Traveler_220,Female,42,Thailand,Berlin,Leisure,Flight,Agent,February,2023,6,89679,Budget,5,Winter
T0221,Traveler_221,Female,32,Germany,Dubai,Leisure,Train,Online,November,2023,10,99160,Luxury,4,Summer
T0222,Traveler_222,Female,52,Australia,Goa,Business,Flight,Agent,November,2024,7,103433,Standard,4,Winter
T0223,Traveler_223,Male,30,India,Goa,Business,Bus,Agent,September,2023,5,111547,Budget,5,Monsoon
T0224,Traveler_224,Female,22,UAE,Bangkok,Leisure,Bus,Agent,April,2022,8,72305,Luxury,3,Monsoon
T0225,Traveler_225,Male,27,UK,London,Leisure,Bus,Agent,May,2022,7,95644,Standard,3,Winter
T0226,Traveler_226,Female,36,Australia,London,Business,Train,Online,December,2022,4,93351,Standard,3,Winter
T0227,Traveler_227,Female,19,UAE,Berlin,Leisure,Bus,Online,March,2022,2,107733,Luxury,5,Summer
T0228,Traveler_228,Female,39,France,Paris,Leisure,Train,Online,August,2024,7,97123,Budget,5,Winter
T0229,Traveler_229,Female,48,UK,Singapore,Leisure,Flight,Online,October,2023,7,26032,Budget,3,Monsoon
T0230,Traveler_230,Male,47,Italy,Rome,Leisure,Train,Agent,August,2022,5,69404,Budget,5,Summer
T0231,Traveler_231,Male,31,Italy,Goa,Business,Flight,Online,February,2024,9,78561,Budget,5,Monsoon
T0232,Traveler_232,Male,47,UK,Dubai,Leisure,Train,Agent,April,2022,4,40283,Luxury,4,Summer
T0233,Traveler_233,Female,41,Australia,Berlin,Leisure,Flight,Online,February,2022,8,66099,Standard,5,Summer
T0234,Traveler_234,Male,26,Australia,Rome,Business,Bus,Agent,May,2023,3,116823,Budget,4,Summer
T0235,Traveler_235,Female,58,Thailand,Singapore,Business,Train,Online,May,2024,6,38829,Budget,3,Winter
T0236,Traveler_236,Female,53,UK,New York,Leisure,Bus,Agent,July,2024,2,82833,Budget,4,Monsoon
T0237,Traveler_237,Male,55,India,Paris,Business,Bus,Agent,May,2024,8,111382,Standard,4,Monsoon
T0238,Traveler_238,Female,50,India,Goa,Leisure,Flight,Agent,November,2022,4,17235,Budget,4,Winter
T0239,Traveler_239,Male,34,USA,New York,Business,Train,Agent,April,2024,7,21594,Luxury,3,Summer
T0240,Traveler_240,Female,24,UAE,Goa,Business,Flight,Agent,June,2022,7,114720,Standard,3,Winter
T0241,Traveler_241,Female,55,USA,London,Business,Bus,Online,February,2024,10,17511,Budget,3,Summer
T0242,Traveler_242,Female,38,India,Rome,Leisure,Bus,Agent,October,2022,8,90286,Luxury,3,Monsoon
T0243,Traveler_243,Male,54,UAE,Paris,Business,Train,Agent,April,2023,8,100114,Luxury,5,Monsoon
T0244,Traveler_244,Female,54,Singapore,Sydney,Leisure,Train,Agent,January,2024,10,112351,Luxury,3,Summer
T0245,Traveler_245,Male,37,UAE,New York,Business,Train,Agent,March,2022,2,68418,Standard,5,Summer
T0246,Traveler_246,Male,58,Germany,Singapore,Leisure,Train,Online,September,2023,5,26807,Budget,4,Winter
